row_0,Cool,Hotspot,Moderate,Moderately Cool,Warm
Cool,515.13,0.2,7.28,31.57,2.76
Hotspot,0.0,6.39,1.97,0.0,16.64
Moderate,0.98,7.16,119.95,38.36,82.04
Moderately Cool,27.12,0.32,41.68,72.36,8.83
Warm,0.0,13.04,88.29,1.19,116.31
