row_0,Agriculture,BareLand,Builtup,Vegetation,Water
Agriculture,22.5,0.87,24.55,26.91,0.46
BareLand,1.02,1.84,0.79,1.26,0.59
Builtup,0.67,0.09,453.59,8.88,0.0
Vegetation,8.37,0.39,5.89,130.24,0.12
Water,0.11,0.36,0.06,0.16,0.77
