Year,Study_Area,Total_Area_km2,Builtup_km2,Builtup_Percent,Vegetation_km2,Vegetation_Percent,Agriculture_km2,Agriculture_Percent,Water_km2,Water_Percent,BareLand_km2,BareLand_Percent
2015,Hetauda,261.6597041893472,27.189384593800842,10.39112410450695,144.01214018532787,55.03795115548821,74.93188966993895,28.63715293957349,1.4409637899748866,0.5507014518873524,5.460181513211779,2.0867490965519773
2016,Hetauda,261.6597041893472,27.189384593800842,10.39112410450695,144.01214018532787,55.03795115548821,74.93188966993895,28.63715293957349,1.4409637899748866,0.5507014518873524,5.460181513211779,2.0867490965519773
2017,Hetauda,261.6597041893472,37.45847943346849,14.31572337418912,165.6240910765019,63.297515217188284,53.82947745372507,20.57232221541149,1.832753787823607,0.7004340976008115,2.914902437902474,1.1140050956386987
2018,Hetauda,261.6597041893472,41.87808579476234,16.004789856545017,173.69330570462193,66.38137356408943,38.42065148071388,14.683442221164933,1.8078431003888011,0.6909138363469887,5.859818108980689,2.2394805218996563
2019,Hetauda,261.6597041893472,52.531002610154694,20.076076586917335,164.54934490667756,62.88677326777194,37.72759456508212,14.418572657936263,1.8030454004202783,0.6890802716476069,5.048716707170881,1.9294972157873538
2020,Hetauda,261.6597041893472,53.786950790460466,20.55606955495834,168.69875290727222,64.4725764824664,32.23606434864761,12.319842846463027,1.6818214128850333,0.6427514003715303,5.256114730229843,2.008759715797245
2021,Hetauda,261.6597041893472,43.66979229203692,16.68953667410544,170.8143953953196,65.28112378806009,35.99131477686906,13.755008585817377,1.566606337300439,0.5987189896717079,9.617595387987441,3.67561196240892
2022,Hetauda,261.6597041893472,60.17803879681846,22.99858856114554,163.55204985620952,62.505631259850716,31.9008140293809,12.191718296179154,1.729623660140634,0.6610202612202797,4.299177846818656,1.6430416216123223
2023,Hetauda,261.6597041893472,59.71203501392816,22.820493204684734,154.59499642113445,59.08246242962327,41.355984399123784,15.805255351506844,1.9495062925503615,0.745054076473167,4.0471820627915,1.5467349377811725
2024,Hetauda,261.6597041893472,60.10713390772258,22.971490430267664,152.21407730951415,58.172532825064295,45.618865665809984,17.434425299509773,1.6142907876832855,0.6169428314094253,2.10533651853889,0.8046086137189034
2025,Hetauda,261.6597041893472,57.38456010542987,21.93098867982521,166.2784930868905,63.54761181208279,32.53211180036211,12.432985010493093,1.929178836765904,0.7372854153232072,3.5353603599960906,1.3511290823128674
